Label	Text
positive	first saw gem joe arno way back must say seeing could never forget jennifer welles first thought mov
positive	touching story special bond child grandfather villager run malawi de brings grandson parish ram city
negative	another example stephen king book made movie even carrie one best ruined adaptation book screen prem
positive	saw entry santa fe festival heavy depiction completely dysfunctional family taken another level extr
positive	magnificent original beautiful acting great setting en decor superb paris best real paris famous set
negative	final frame original american graffiti provide online summary fate film four central male character 
positive	best king fu time although wirework special effect like used crouching tiger us ingenuity creative c
negative	gave <num> possible <num> star unless like wasting time watching anorexic actress carly pope behavin
positive	expecting much pleasantly surprised light funny well observed central trio deadbeat bikers surprisin
negative	night comet start world prepares lifetime event passing <num> million plus year old comet instead wa
positive	didst catch gilmore girl first came still matchup first season read user comment negative one ask sh
negative	deep sh like eel cartoon think incredible mr limpet meet leviathan tacky character relationship deve
negative	create thermometer would absolute zero ten star would rate follows plot zero star video quality zero
negative	underwood goofy story young marquette convinces friend kidnap frank sinatra jr nicholas written ridi
positive	watched mccoy reunion glad see richard arena kathleen nolan tony martinez see wonderful always watch
positive	live seen movie saw without doubt remake best know lot people would disagree become fan original pro
negative	nice character played pleasant looking actor actress plus famous band famous dancer yet didst work t
negative	im surprised comparison hast made yet mind mercia television program awful truth ran year ago helped
positive	know saying oh man pinocchio scary go beyond lot maniacal pinocchio behind tell story mother daughte
positive	loss released english many title series certainly eerie midnight horror show one best italian ripoff
positive	spiritual seen long long time maybe ever also one scene around dining room table piece comic perfect
negative	live lost <num> hour life watching mindless plot could make better cellphone camera manage get actor
positive	want see gun blood sex shouting angry people hero bad guy girl even clumsy love word want see every 
negative	went see suspecting would hate everything wrong like filming different book granted location house l
negative	remember day kim singer nothing pretty face adorned movie typical character dumb blondie romantic in
positive	actor herman jose play role football soccer entrepreneur acquires pas two african player try sell li
negative	original story ingredient make thoroughly gripping failed miserably version even cherie pale imitati
negative	see british airway plane terribly bad acting dumb story even kid would enjoy something switch possib
negative	laughing much long time need take break reading <num> unfavourable review show decided turn check ev
positive	lederberg fabulous director nothing could conjure could beat amazing cast gathered zenith sequel cle
negative	fan pitt comedy thought one looked like worth try quite disappointed version saw tom consisted niaga
negative	mr motor gamble fairly straight forward plot boxer murdered ring mysterious poison even mysterious m
negative	never seen annoyed much stupid people stupid terrible thing funny must say plot line awful patience 
positive	interested akhenaton many year surprised learn via ebay bought copy enjoyed twist turn plot file mai
positive	forget whiny pointless comment left series well acted well shot make refreshing change pap tv fool n
negative	remember came lot kid nut guess bit old get excited fan real martial art film always found bit chees
negative	absolutely awful even feel uncomfortable calling typical dumbledore zero plot bunch aimless whiny tw
positive	gargle old razor blade help im cousin basil think piano tune ginger grey little snook laugh througho
negative	worst bob hope comedy emerald includes heavy competition hope island sailor dream aloud bathtub geis
negative	concept strafing appears sound one aside musical perspective attempt combine upbeat african music st
negative	another awful hollywood time female help revolution central american country yeah yeah yeah hey let 
positive	like wind lion much good thought since im young made long ago like good saw amazed good family liked
negative	caught showtime wow even fun bad kind way one lamest monster flick live ever seen plus tv reporter a
negative	simply watched sarah also giving <num> star heron side easily one worst movie ever seen teaching hor
positive	certainly quality classy cast far movie carlos jackal go one beat bruce willis feeble effort jackal 
negative	love documentary among favourite genre seeing haunt seen one haunt liked premise great one execution
negative	went prescreening shocked cheesy combination every horror thriller cliche trying comment many thing 
positive	wonderfully written well acted psychological drama really horror flick looking something like ring g
negative	well done whole grudge going around killing random people nowhere random people nothing story get ki
positive	let start saying watching episode first time <num> clock pm one night could fall asleep <num> <num> 
positive	popular radio storyteller gabriel one robin williams craggy speaking hushed hypnotic tone becomes ac
positive	soap interesting brilliant part must watch strong characterisation risk plot two troubled individual
positive	worth mentioning omitted review read subtext law shaped life behaviour gay era portrayed courtesan c
negative	<num> christian slater tara reid stephen orff frank c turner mathew walker anderson directed boll ba
positive	excellent teaching tool kill mockingbird conjunction study novel caged bird used independent literar
negative	much say one except probably worst early spate zombie movie may get watch another one revolt zombie 
positive	police story one jackie chain classic film helped shape hong kong cinema masterpiece missed action f
positive	watched wire spindle laugh taking place screen wire sure got lot play boy woman confused actor playe
positive	always thought batman return great sequel batman story interesting one danny device christopher walk
negative	upon time evil people made guy got shot space supposedly go saturn really stock footage solar flare 
negative	like many people general age range remember going see kid <num> coming theatre practically tear seem
positive	poorly received badly reviewed book rebel west written soon wei shell shock trauma induced amnesia c
positive	writer director henry rommel done wonderful job panic year includes choice cast william h macy tracy
positive	excellent saw karloff vary czech republic award first live ever seen jan director impressed great st
positive	beautiful filled adventure genius bottle classic scene romantic finish thing turn saw first child re
negative	final justice great joe baker running around texas shooting people shoot people he malta shoot peopl
negative	waste time watching unless want study wrong thing make good one usually review one personal wasted p
negative	time beast master marc singer return face new enemy wing hauler however due annoying teenager kari t
positive	parody star war live seen probably funniest premise star war simple electronics instead spaceship po
negative	first horror watched im almost thinking done need see others told thinking man horror say supposed m
positive	also known stairway heaven u wii british peter carter david given plane shot combat survives meet fa
positive	belgian take interest history congo colony many year rwanda belgian colony part country history nowa
positive	done skateboard think gay game really great smooth fast easy play fun even done well really fun make
positive	excellent think back long time find made laugh quite much writing topnotch story satisfying entire c
negative	bizarre completely inexplicable hysterical watch friend drinking big empty house really love opening
negative	saw way back premiered based notion autistic child could communicate typed message someone else mere
positive	ray interesting part technically well made ray often sluggish forgets important detail ray life show
negative	wont say show bad funny part like spencer random incident let face another dry sitcom kid buying mir
negative	saw local tv station tv big chuck little john cleveland ohio never heard decided watch know thesauru
positive	person comment said pat robertson evil program evil nothing compare evil righteous definition evil o
positive	impressed acting comanche moon started watching want expecting good lonesome dove believe well actor
positive	another exquisite taste superhero batman dead end help stimulate taste bud leave u wanting real supe
negative	till need glass least prof point anyone make talent consideration folk unleashed wretched pile spewi
negative	saw accident one lazy summer afternoon playing family programming channel hob first drawn thought di
negative	use astral projection wandering soul exist outside body result inflicting horrible death rushing ins
negative	anyone care character matter happens doubt key problem tragedy work care least one character none in
negative	best scene people across lake genuinely creepy nightly opening scene featuring house murder lake pre
positive	best horror ever seen acting terrible plot leaf lot desired puppet gave nightmare week seriously lit
positive	synopsis great job explaining expect good thriller well shot tough believe bill paxton directorial d
negative	apparently writer director direct odd slasher fan friday summer camp slasher everything group teenag
negative	difficult understand couple want divorce reason given done know anything life lisbon even nothing ma
negative	feel totally ripped someone need refund spent blockbuster rent homemade mess musical complete waste 
positive	glanced another comment posted writer discusses disturbing way teenager use body dead friend one ove
